ダム番号,ダム名,水系名,河川名,都道府県コード,都道府県名
40,雨竜第１ダム,石狩川,雨竜川,1,北海道
306,パシフィックコンサルタンツ長沼ダム,北上川,迫川,4,宮城県
299,青下第一ダム,広瀬川,青下川,4,宮城県
3284,千五沢ダム,阿武隈川,北須川,7,福島県
3162,藤井川ダム,那珂川,藤井川,8,茨城県
580,渡良瀬貯水池,利根川,渡良瀬川,9,栃木県
644,荒川貯水池,荒川,荒川,11,埼玉県
693,白丸調整池ダム,多摩川,多摩川,13,東京都
3243,石小屋ダム,相模川,中津川,14,神奈川県
1032,大町ダム,信濃川,高瀬川,20,長野県
1010,美和ダム,天竜川,三峰川,20,長野県
2963,美和ダム再開発,天竜川,三峰川,20,長野県
3321,牧尾ダム,木曽川,王滝川,20,長野県
1024,松川ダム,天竜川,松川,20,長野県
753,笠堀ダム,信濃川,笠堀川,15,新潟県
761,新保川ダム,国府川,新保川,15,新潟県
738,浅河原調整池ダム,信濃川,信濃川,15,新潟県
3632,山本調整池ダム,信濃川,信濃川,15,新潟県
3032,山本第二調整池ダム,信濃川,信濃川,15,新潟県
867,上市川第二ダム,上市川,上市川,16,富山県
3699,熊野川ダム,神通川,熊野川,16,富山県
3026,鳴鹿大堰,九頭竜川,九頭竜川,18,福井県
3059,横山ダム,木曽川,揖斐川,21,岐阜県
1173,大倉川農地防災ダム,富士川,大倉川,22,静岡県
1160,佐久間ダム,天竜川,天竜川,22,静岡県
1149,田代ダム,大井川,大井川,22,静岡県
1108,矢作ダム,矢作川,矢作川,23,愛知県
1403,天ヶ瀬ダム,淀川,宇治川,26,京都府
1517,太田第一～第五ダム,市川,太田川,28,兵庫県
3622,菅生ダム,夢前川,菅生川,28,兵庫県
1486,平荘ダム,加古川,加古川,28,兵庫県
1508,権現ダム,加古川,権現川,28,兵庫県
3287,美田ダム,美田川,美田川,32,島根県
2099,木屋川ダム,木屋川,木屋川,35,山口県
2122,長安口ダム,那賀川,那賀川,36,徳島県
2175,五名ダム,湊川,湊川,37,香川県
2166,長柄ダム,綾川,綾川,37,香川県
3289,内海ダム,別当川,別当川,37,香川県
3600,鹿野川ダム,肱川,肱川,38,愛媛県
2279,面河第三ダム,仁淀川,仁淀川,38,愛媛県
2322,早明浦ダム,吉野川,吉野川,39,高知県
2451,南畑ダム,那珂川,那珂川,40,福岡県
3216,本河内低部ダム,中島川,中島川,42,長崎県
2570,本河内高部ダム,中島川,中島川,42,長崎県
2572,西山ダム,中島川,西山川,42,長崎県
2645,萱瀬ダム,郡川,郡川,42,長崎県
3375,浦上ダム,浦上川,大井手川,42,長崎県
2619,雞知ダム,雞知川,雞知川,42,長崎県
2797,下筌ダム,筑後川,津江川,43,熊本県
3139,氷川ダム,氷川,氷川,43,熊本県
2798,松原ダム,筑後川,筑後川,44,大分県
2783,耶馬渓ダム,山国川,山移川,44,大分県
2807,山須原ダム,耳川,耳川,45,宮崎県
3671,西郷ダム,耳川,耳川,45,宮崎県
3597,鶴田ダム,川内川,川内川,46,鹿児島県
